Kennziffer;Raumeinheit;Aggregat;Bodenfläche gesamt qkm;Bevölkerung gesamt;Bevölkerung männlich;Bevölkerung weiblich;Erwerbsfähige Bevölkerung (15 bis unter 65 Jahre);Sozialversicherungspflichtig Beschäftigte am Arbeitsort;Sozialversicherungspflichtig Beschäftigte am Wohnort;Einwohner von 18 bis unter 25 Jahren;Einwohner von 25 bis unter 30 Jahren;Einwohner von 30 bis unter 50 Jahren;Einwohner von 50 bis unter 65 Jahren;Bevölkerung;Einwohnerdichte;Einwohner je Arzt;Allgemeinärzte;Ärzte;Ländlichkeit;Bevölkerung in Mittelzentren;Bevölkerung in Oberzentren
;;;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2022;2023;2024;2023;2023;2023
9471;Bamberg;Kreise;1.167,81;148.017,00;73.917,00;74.100,00;95.026,00;40.061,00;66.495,00;6,64;4,99;25,30;24,49;148.017,00;126,75;1.119,92;0,00;8,53;38,35;9,65;0,00
9472;Bayreuth;Kreise;1.275,50;103.269,00;51.289,00;51.980,00;64.507,00;24.899,00;44.876,00;6,29;4,61;23,78;25,03;103.269,00;80,96;1.249,77;4,07;;85,85;26,14;0,00
9473;Coburg;Kreise;590,42;84.518,00;41.922,00;42.596,00;52.472,00;28.130,00;38.536,00;6,05;4,54;24,10;24,75;84.518,00;143,15;1.371,40;0,00;;32,31;32,08;0,00
9474;Forchheim;Kreise;642,83;116.284,00;57.671,00;58.613,00;73.664,00;34.008,00;51.644,00;6,56;5,03;24,84;24,08;116.284,00;180,89;804,58;4,56;;33,43;5,76;28,35
9475;Hof;Kreise;892,52;92.675,00;45.405,00;47.270,00;56.542,00;39.642,00;38.678,00;6,16;4,65;22,20;25,39;92.675,00;103,84;972,83;0,00;;74,66;37,42;0,00
9476;Kronach;Kreise;651,49;65.009,00;32.135,00;32.874,00;40.558,00;25.182,00;28.475,00;6,29;4,78;22,89;25,97;65.009,00;99,79;845,29;0,00;;55,26;30,41;0,00
9477;Kulmbach;Kreise;658,33;71.752,00;35.355,00;36.397,00;44.787,00;29.303,00;31.231,00;6,49;4,94;23,20;25,11;71.752,00;108,99;669,22;0,00;;59,18;4,62;36,71
9478;Lichtenfels;Kreise;519,94;67.716,00;33.409,00;34.307,00;42.565,00;28.141,00;29.544,00;6,38;5,34;24,05;24,44;67.716,00;130,24;762,33;0,00;12,91;31,35;71,24;0,00
9479;Wunsiedel i.Fichtelgebirge;Kreise;606,37;70.959,00;34.626,00;36.333,00;42.843,00;30.528,00;29.366,00;6,31;4,91;22,04;24,57;70.959,00;117,02;743,07;0,00;;37,99;0,00;57,62
9561;Ansbach, Stadt;Kreise;99,91;39.700,00;19.275,00;20.425,00;25.233,00;29.450,00;17.589,00;7,73;6,36;24,89;21,81;39.700,00;397,36;337,71;0,00;;0,00;0,00;100,00
9562;Erlangen;Kreise;76,96;115.314,00;57.181,00;58.133,00;78.725,00;95.215,00;52.469,00;9,92;10,22;26,62;18,93;115.314,00;1.498,36;481,14;0,00;;0,00;0,00;100,00
9563;Fürth, Stadt;Kreise;63,35;131.712,00;64.847,00;66.865,00;88.082,00;51.123,00;60.143,00;7,06;6,72;28,56;21,97;131.712,00;2.079,12;563,09;0,00;17,42;0,00;0,00;100,00
9564;Nürnberg;Kreise;186,44;526.606,00;258.519,00;268.087,00;349.714,00;318.779,00;230.823,00;7,76;7,46;28,25;20,28;526.606,00;2.824,53;534,83;4,22;;0,00;0,00;100,00
9565;Schwabach;Kreise;40,80;40.994,00;20.003,00;20.991,00;25.696,00;17.180,00;17.410,00;6,62;5,33;24,74;23,06;40.994,00;1.004,75;549,66;0,00;;0,00;0,00;100,00
9571;Ansbach;Kreise;1.971,32;187.340,00;93.785,00;93.555,00;119.481,00;64.317,00;84.015,00;7,02;5,45;25,07;23,36;187.340,00;95,03;1.089,82;0,00;;72,35;32,10;0,00
9572;Erlangen-Höchstadt;Kreise;564,55;138.581,00;68.821,00;69.760,00;86.804,00;54.265,00;62.206,00;6,44;4,68;25,60;22,96;138.581,00;245,47;777,36;0,00;;6,78;27,53;0,00
9573;Fürth;Kreise;307,44;117.617,00;57.151,00;60.466,00;72.563,00;25.609,00;51.338,00;6,05;4,57;25,06;23,36;117.617,00;382,57;813,85;0,00;;3,65;49,68;0,00
9574;Nürnberger Land;Kreise;799,52;169.193,00;83.154,00;86.039,00;105.549,00;57.267,00;74.313,00;6,17;4,70;24,93;23,87;169.193,00;211,62;738,17;4,79;;16,08;44,88;0,00
9575;Neustadt a.d.Aisch-Bad Windsheim;Kreise;1.267,45;100.982,00;50.690,00;50.292,00;63.802,00;34.753,00;45.469,00;6,61;5,12;24,77;23,84;100.982,00;79,67;836,32;0,00;;71,57;31,75;0,00
9576;Roth;Kreise;895,16;128.438,00;63.756,00;64.682,00;80.895,00;43.035,00;56.291,00;6,55;4,99;24,78;23,95;128.438,00;143,48;880,64;0,00;;38,85;43,17;0,00
9577;Weißenburg-Gunzenhausen;Kreise;970,78;94.670,00;47.228,00;47.442,00;59.161,00;32.885,00;40.927,00;6,93;5,32;24,36;23,09;94.670,00;97,52;749,75;0,00;;60,50;50,85;0,00
9661;Aschaffenburg, Stadt;Kreise;62,45;72.554,00;35.453,00;37.101,00;47.101,00;47.559,00;30.726,00;7,24;6,59;26,71;21,71;72.554,00;1.161,79;370,93;0,00;;0,00;0,00;100,00
9662;Schweinfurt, Stadt;Kreise;35,70;53.938,00;26.679,00;27.259,00;33.455,00;54.895,00;21.959,00;8,66;6,33;24,65;19,52;53.938,00;1.510,87;343,75;0,00;;0,00;0,00;100,00
9663;Würzburg, Stadt;Kreise;87,60;131.759,00;62.918,00;68.841,00;90.045,00;95.152,00;55.282,00;11,35;10,79;26,32;17,77;131.759,00;1.504,10;350,52;0,00;;0,00;0,00;100,00
9671;Aschaffenburg;Kreise;698,90;170.856,00;84.580,00;86.276,00;107.591,00;56.807,00;74.918,00;6,38;4,85;24,39;24,57;170.856,00;244,46;1.080,07;0,00;;3,67;30,37;0,00
9672;Bad Kissingen;Kreise;1.136,90;103.447,00;50.906,00;52.541,00;62.525,00;36.105,00;43.571,00;6,29;4,92;22,82;23,84;103.447,00;90,99;792,98;0,00;;71,34;16,70;22,36
9673;Rhön-Grabfeld;Kreise;1.021,68;79.430,00;39.586,00;39.844,00;49.190,00;33.588,00;34.504,00;6,69;5,07;23,44;23,84;79.430,00;77,74;769,09;0,00;;80,76;14,51;19,24
9674;Haßberge;Kreise;956,19;83.673,00;41.996,00;41.677,00;52.542,00;27.941,00;36.768,00;6,77;5,09;23,98;24,25;83.673,00;87,51;796,73;0,00;12,04;73,43;25,01;0,00
9675;Kitzingen;Kreise;684,14;91.197,00;45.684,00;45.513,00;58.078,00;36.093,00;41.074,00;6,87;5,26;25,26;23,55;91.197,00;133,30;810,52;4,82;;48,11;34,37;0,00
9676;Miltenberg;Kreise;715,58;127.204,00;63.153,00;64.051,00;80.326,00;44.854,00;55.290,00;6,78;5,24;24,07;24,23;127.204,00;177,76;825,07;0,00;;20,25;37,46;0,00
9677;Main-Spessart;Kreise;1.321,20;125.814,00;62.735,00;63.079,00;77.994,00;47.801,00;55.364,00;6,47;5,03;23,48;24,38;125.814,00;95,23;826,86;0,00;;56,01;41,06;0,00
9678;Schweinfurt;Kreise;841,39;114.404,00;57.391,00;57.013,00;71.071,00;27.366,00;50.612,00;6,62;4,91;24,33;23,59;114.404,00;135,97;1.240,53;4,55;;54,70;5,92;0,00
9679;Würzburg;Kreise;968,35;160.879,00;79.556,00;81.323,00;99.905,00;41.386,00;70.077,00;6,63;4,89;24,86;23,01;160.879,00;166,14;820,69;0,00;;29,08;6,99;0,00
