Kennziffer;Raumeinheit;Aggregat;Einwohnerdichte;Ländlichkeit
;;;2023;2023
"09362";"Regensburg, Stadt";"Kreisregionen";"1.850,90";"0,00"
"09371";"Amberg-Sulzbach/Amberg";"Kreisregionen";"112,06";"47,42"
"09372";"Cham";"Kreisregionen";"83,98";"84,90"
"09373";"Neumarkt i.d.OPf.";"Kreisregionen";"102,84";"64,66"
"09374";"Neustadt a.d.Waldnaab/Weiden i.d.OPf.";"Kreisregionen";"92,65";"54,74"
"09375";"Regensburg";"Kreisregionen";"139,26";"36,13"
"09376";"Schwandorf";"Kreisregionen";"101,96";"56,81"
"09377";"Tirschenreuth";"Kreisregionen";"66,91";"100,00"
"09471";"Kreis u. Stadt Bamberg";"Kreisregionen";"182,51";"25,45"
"09472";"Kreis u. Stadt Bayreuth";"Kreisregionen";"131,36";"50,27"
"09473";"Kreis u. Stadt Coburg";"Kreisregionen";"196,37";"21,77"
"09474";"Forchheim";"Kreisregionen";"180,89";"33,43"
"09475";"Kreis u. Stadt Hof";"Kreisregionen";"146,40";"49,72"
"09476";"Kronach";"Kreisregionen";"99,79";"55,26"
"09477";"Kulmbach";"Kreisregionen";"108,99";"59,18"
"09478";"Lichtenfels";"Kreisregionen";"130,24";"31,35"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreisregionen";"117,02";"37,99"
"09562";"Erlangen";"Kreisregionen";"1.498,36";"0,00"
"09563";"Fürth, Stadt";"Kreisregionen";"2.079,12";"0,00"
"09564";"Nürnberg, Stadt";"Kreisregionen";"2.824,53";"0,00"
"09571";"Kreis u. Stadt Ansbach";"Kreisregionen";"109,62";"59,70"
"09572";"Erlangen-Höchstadt";"Kreisregionen";"245,47";"6,78"
"09573";"Fürth";"Kreisregionen";"382,57";"3,65"
"09574";"Nürnberger Land";"Kreisregionen";"211,62";"16,08"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreisregionen";"79,67";"71,57"
"09576";"Roth/Schwabach";"Kreisregionen";"181,02";"29,45"
"09577";"Weißenburg-Gunzenhausen";"Kreisregionen";"97,52";"60,50"
"09663";"Würzburg, Stadt";"Kreisregionen";"1.504,10";"0,00"
"09671";"Kreis u. Stadt Aschaffenburg";"Kreisregionen";"319,71";"2,58"
"09672";"Bad Kissingen";"Kreisregionen";"90,99";"71,34"
"09673";"Rhön-Grabfeld";"Kreisregionen";"77,74";"80,76"
"09674";"Haßberge";"Kreisregionen";"87,51";"73,43"
"09675";"Kitzingen";"Kreisregionen";"133,30";"48,11"
"09676";"Miltenberg";"Kreisregionen";"177,76";"20,25"
"09677";"Main-Spessart";"Kreisregionen";"95,23";"56,01"
"09678";"Kreis u. Stadt Schweinfurt";"Kreisregionen";"191,93";"37,18"
"09679";"Würzburg";"Kreisregionen";"166,14";"29,08"
"09361";"Amberg";"Kreise";"841,98";"0,00"
"09362";"Regensburg, Stadt";"Kreise";"1.850,90";"0,00"
"09363";"Weiden i.d.OPf.";"Kreise";"601,25";"0,00"
"09371";"Amberg-Sulzbach";"Kreise";"82,91";"66,64"
"09372";"Cham";"Kreise";"83,98";"84,90"
"09373";"Neumarkt i.d.OPf.";"Kreise";"102,84";"64,66"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"67,48";"78,88"
"09375";"Regensburg";"Kreise";"139,26";"36,13"
"09376";"Schwandorf";"Kreise";"101,96";"56,81"
"09377";"Tirschenreuth";"Kreise";"66,91";"100,00"
"09461";"Bamberg, Stadt";"Kreise";"1.374,72";"0,00"
"09462";"Bayreuth, Stadt";"Kreise";"1.092,45";"0,00"
"09463";"Coburg, Stadt";"Kreise";"847,11";"0,00"
"09464";"Hof, Stadt";"Kreise";"801,17";"0,00"
"09471";"Bamberg";"Kreise";"126,75";"38,35"
"09472";"Bayreuth";"Kreise";"80,96";"85,85"
"09473";"Coburg";"Kreise";"143,15";"32,31"
"09474";"Forchheim";"Kreise";"180,89";"33,43"
"09475";"Hof";"Kreise";"103,84";"74,66"
"09476";"Kronach";"Kreise";"99,79";"55,26"
"09477";"Kulmbach";"Kreise";"108,99";"59,18"
"09478";"Lichtenfels";"Kreise";"130,24";"31,35"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"117,02";"37,99"
"09561";"Ansbach, Stadt";"Kreise";"397,36";"0,00"
"09562";"Erlangen";"Kreise";"1.498,36";"0,00"
"09563";"Fürth, Stadt";"Kreise";"2.079,12";"0,00"
"09564";"Nürnberg";"Kreise";"2.824,53";"0,00"
"09565";"Schwabach";"Kreise";"1.004,75";"0,00"
"09571";"Ansbach";"Kreise";"95,03";"72,35"
"09572";"Erlangen-Höchstadt";"Kreise";"245,47";"6,78"
"09573";"Fürth";"Kreise";"382,57";"3,65"
"09574";"Nürnberger Land";"Kreise";"211,62";"16,08"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"79,67";"71,57"
"09576";"Roth";"Kreise";"143,48";"38,85"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"97,52";"60,50"
"09661";"Aschaffenburg, Stadt";"Kreise";"1.161,79";"0,00"
"09662";"Schweinfurt, Stadt";"Kreise";"1.510,87";"0,00"
"09663";"Würzburg, Stadt";"Kreise";"1.504,10";"0,00"
"09671";"Aschaffenburg";"Kreise";"244,46";"3,67"
"09672";"Bad Kissingen";"Kreise";"90,99";"71,34"
"09673";"Rhön-Grabfeld";"Kreise";"77,74";"80,76"
"09674";"Haßberge";"Kreise";"87,51";"73,43"
"09675";"Kitzingen";"Kreise";"133,30";"48,11"
"09676";"Miltenberg";"Kreise";"177,76";"20,25"
"09677";"Main-Spessart";"Kreise";"95,23";"56,01"
"09678";"Schweinfurt";"Kreise";"135,97";"54,70"
"09679";"Würzburg";"Kreise";"166,14";"29,08"
