Kennziffer;Raumeinheit;Aggregat;Bevölkerung gesamt;Einwohnerdichte;Ausländeranteil;Frauenanteil;Schutzsuchende an ausländischer Bevölkerung;Schutzsuchende an Bevölkerung;Einwohner unter 6 Jahre;Einwohner von 6 bis unter 18 Jahren;Einwohner 65 Jahre und älter
;;;2023;2023;2023;2023;2023;2023;2023;2023;2023
"09361";"Amberg";"Kreise";"42.217,00";"841,98";"13,76";"50,89";"29,61";"4,07";"5,08";"10,24";"24,25"
"09362";"Regensburg, Stadt";"Kreise";"149.664,00";"1.850,90";"20,50";"50,85";"39,21";"8,04";"5,08";"9,44";"17,43"
"09363";"Weiden i.d.OPf.";"Kreise";"42.430,00";"601,25";"15,98";"51,44";"30,38";"4,86";"4,92";"10,29";"23,25"
"09371";"Amberg-Sulzbach";"Kreise";"104.127,00";"82,91";"7,82";"50,01";"24,61";"1,93";"5,68";"10,88";"22,80"
"09372";"Cham";"Kreise";"128.230,00";"83,98";"8,20";"49,70";"20,45";"1,68";"5,47";"10,67";"23,02"
"09373";"Neumarkt i.d.OPf.";"Kreise";"138.214,00";"102,84";"10,83";"49,40";"17,10";"1,85";"6,12";"11,46";"20,62"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"96.209,00";"67,48";"6,83";"50,17";"26,79";"1,83";"5,87";"10,79";"22,74"
"09375";"Regensburg";"Kreise";"193.801,00";"139,26";"10,46";"50,03";"15,07";"1,58";"5,96";"11,91";"21,24"
"09376";"Schwandorf";"Kreise";"148.698,00";"101,96";"10,58";"49,85";"20,91";"2,21";"5,70";"10,92";"21,70"
"09377";"Tirschenreuth";"Kreise";"72.545,00";"66,91";"6,23";"50,30";"34,32";"2,14";"5,29";"10,37";"24,10"
"09461";"Bamberg, Stadt";"Kreise";"75.087,00";"1.374,72";"17,63";"50,91";"49,66";"8,76";"5,41";"9,63";"19,96"
"09462";"Bayreuth, Stadt";"Kreise";"73.074,00";"1.092,45";"15,17";"50,95";"71,30";"10,82";"4,54";"9,04";"22,32"
"09463";"Coburg, Stadt";"Kreise";"40.907,00";"847,11";"14,45";"51,30";"32,32";"4,67";"5,02";"9,68";"23,74"
"09464";"Hof, Stadt";"Kreise";"46.484,00";"801,17";"22,77";"50,91";"36,79";"8,38";"5,34";"10,93";"23,71"
"09471";"Bamberg";"Kreise";"148.017,00";"126,75";"6,69";"50,06";"20,82";"1,39";"5,95";"11,58";"21,05"
"09472";"Bayreuth";"Kreise";"103.269,00";"80,96";"5,73";"50,33";"24,91";"1,43";"5,43";"10,92";"23,95"
"09473";"Coburg";"Kreise";"84.518,00";"143,15";"6,89";"50,40";"18,88";"1,30";"5,40";"10,59";"24,57"
"09474";"Forchheim";"Kreise";"116.284,00";"180,89";"9,01";"50,41";"25,44";"2,29";"5,81";"11,54";"22,14"
"09475";"Hof";"Kreise";"92.675,00";"103,84";"7,72";"51,01";"26,01";"2,01";"4,95";"10,21";"26,44"
"09476";"Kronach";"Kreise";"65.009,00";"99,79";"7,40";"50,57";"23,61";"1,75";"4,43";"9,83";"25,80"
"09477";"Kulmbach";"Kreise";"71.752,00";"108,99";"7,60";"50,73";"28,05";"2,13";"4,83";"10,01";"25,42"
"09478";"Lichtenfels";"Kreise";"67.716,00";"130,24";"8,82";"50,66";"26,21";"2,31";"5,20";"10,68";"23,91"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"70.959,00";"117,02";"10,31";"51,20";"29,38";"3,03";"4,94";"10,21";"27,02"
"09561";"Ansbach, Stadt";"Kreise";"39.700,00";"397,36";"16,99";"51,45";"40,40";"6,86";"6,01";"10,87";"22,33"
"09562";"Erlangen";"Kreise";"115.314,00";"1.498,36";"22,92";"50,41";"14,36";"3,29";"5,47";"10,48";"18,36"
"09563";"Fürth, Stadt";"Kreise";"131.712,00";"2.079,12";"21,39";"50,77";"14,96";"3,20";"5,73";"10,56";"19,42"
"09564";"Nürnberg";"Kreise";"526.606,00";"2.824,53";"25,71";"50,91";"20,04";"5,15";"5,48";"10,59";"20,18"
"09565";"Schwabach";"Kreise";"40.994,00";"1.004,75";"14,23";"51,21";"19,20";"2,73";"5,68";"11,55";"23,02"
"09571";"Ansbach";"Kreise";"187.340,00";"95,03";"10,32";"49,94";"16,38";"1,69";"6,12";"11,62";"21,37"
"09572";"Erlangen-Höchstadt";"Kreise";"138.581,00";"245,47";"10,30";"50,34";"17,20";"1,77";"6,05";"12,37";"21,90"
"09573";"Fürth";"Kreise";"117.617,00";"382,57";"9,39";"51,41";"28,89";"2,71";"5,70";"11,46";"23,81"
"09574";"Nürnberger Land";"Kreise";"169.193,00";"211,62";"10,09";"50,85";"20,18";"2,04";"5,62";"11,37";"23,34"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"100.982,00";"79,67";"10,07";"49,80";"20,90";"2,10";"5,85";"11,37";"22,45"
"09576";"Roth";"Kreise";"128.438,00";"143,48";"8,28";"50,36";"18,28";"1,51";"5,84";"11,38";"22,51"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"94.670,00";"97,52";"11,00";"50,11";"23,86";"2,62";"5,87";"11,37";"23,06"
"09661";"Aschaffenburg, Stadt";"Kreise";"72.554,00";"1.161,79";"19,42";"51,14";"26,58";"5,16";"5,48";"10,57";"21,69"
"09662";"Schweinfurt, Stadt";"Kreise";"53.938,00";"1.510,87";"22,05";"50,54";"29,17";"6,43";"5,49";"11,18";"24,18"
"09663";"Würzburg, Stadt";"Kreise";"131.759,00";"1.504,10";"14,93";"52,25";"26,43";"3,95";"4,74";"8,38";"20,65"
"09671";"Aschaffenburg";"Kreise";"170.856,00";"244,46";"10,77";"50,50";"19,86";"2,14";"5,74";"10,99";"23,08"
"09672";"Bad Kissingen";"Kreise";"103.447,00";"90,99";"8,23";"50,79";"28,23";"2,32";"5,45";"10,48";"26,20"
"09673";"Rhön-Grabfeld";"Kreise";"79.430,00";"77,74";"7,21";"50,16";"32,20";"2,32";"5,54";"11,36";"24,06"
"09674";"Haßberge";"Kreise";"83.673,00";"87,51";"6,28";"49,81";"25,41";"1,60";"5,71";"11,15";"23,04"
