AG,AG_NAME,REG_BEZIRK,EBENE,EBENE_ID,AGS,EBENE_NAME,Einwohner,Versorgungsgrad,Kassensitze,Kassensitz/100.000Einwohner,Personen,Ärztliche Psychotherapeuten,Psychologische Psychotherapeuten,Kinder- u. Jugendlichenpsychotherapeuten,weiblich,weiblich anteil,männlich,männlich anteil,über 60,über 60 Anteil,Durchschnittliches Alter,Anteil unter 45,Anteil 45-50,Anteil 50-55,Anteil 55-60,Anteil >60,ST,Versorgungsgrad1,Soderzulassung,Wartezeiten,Wartezeit genau
AV0500,Psychotherapeuten,Bayern,Bundesland,71,#NV,Bayern,#NV,,"4040,341667",,6735,0,0,0,5168,77,1567,23,2428,"36,1","53,3","30,5","10,8",11,"11,6","36,1",30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Oberbayern,Bezirke,64,#NV,Oberbayern,#NV,,"1894,666667",,3278,0,0,0,2517,77,761,23,1287,"39,3","54,7",27,"10,3","11,4","12,1","39,3",30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Oberfranken,Bezirke,65,#NV,Oberfranken,#NV,,"241,25",,380,0,0,0,290,76,90,24,114,30,"51,4","35,3","11,8","12,1","10,8",30,30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Mittelfranken,Bezirke,66,#NV,Mittelfranken,#NV,,"563,2",,935,0,0,0,730,78,205,22,311,"33,3","52,3","31,6","11,6","11,4","12,2","33,3",30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Unterfranken,Bezirke,67,#NV,Unterfranken,#NV,,"342,9",,562,0,0,0,427,76,135,24,173,"30,8","51,7","35,2","13,5","8,5","11,9","30,8",30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Oberpfalz,Bezirke,68,#NV,Oberpfalz,#NV,,"290,4",,473,0,0,0,370,78,103,22,151,"31,9","51,1","36,8","11,4","10,4","9,5","31,9",30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Niederbayern,Bezirke,69,#NV,Niederbayern,#NV,,"259,875",,403,0,0,0,304,75,99,25,121,30,"51,3","37,7","10,4","8,7","13,2",30,30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Schwaben,Bezirke,70,#NV,Schwaben,#NV,,"448,05",,737,0,0,0,556,75,181,25,278,"37,7","53,1","31,3","9,6","11,9","9,4","37,7",30.01.2025,ausreichend versorgt,,#NV,
AV0500,Psychotherapeuten,Oberbayern,PB,916100,09161,SK Ingolstadt,142308,"111,86","51,5","36,19",80,11,48,25,59,74,21,26,23,"28,8","51,63",35,"12,5","11,3","12,5","28,8",30.01.2025,überversorgt,,100-114,112
AV0500,Psychotherapeuten,Oberbayern,PB,916200,09162,SK München,1510378,"220,54","1054,95","69,85",1873,364,1213,309,1438,77,435,23,758,"40,5","54,98","27,3","10,1","11,1","11,1","40,5",30.01.2025,überversorgt,,80-84,82
AV0500,Psychotherapeuten,Oberbayern,PB,916301,09187,KR Rosenheim,333583,"166,57","93,5","28,03",171,47,89,35,126,74,45,26,69,"40,4","55,26","21,1","13,5","11,7","13,5","40,4",30.01.2025,überversorgt,,85-99,90
