Kennziffer;Raumeinheit;Aggregat;Bevölkerungsentwicklung (10 Jahre);Prognostizierte Bevölkerungsentwicklung (2022-2045);Einwohner von 18 bis unter 25 Jahren;Einwohner von 25 bis unter 30 Jahren;Einwohner von 30 bis unter 50 Jahren
;;;2023;2024;2023;2023;2023
"09471";"Bamberg";"Kreise";"2,49";"0,20";"6,64";"4,99";"25,30"
"09472";"Bayreuth";"Kreise";"-1,31";"-3,49";"6,29";"4,61";"23,78"
"09473";"Coburg";"Kreise";"-2,54";"-6,04";"6,05";"4,54";"24,10"
"09474";"Forchheim";"Kreise";"2,52";"2,25";"6,56";"5,03";"24,84"
"09475";"Hof";"Kreise";"-4,55";"-10,22";"6,16";"4,65";"22,20"
"09476";"Kronach";"Kreise";"-5,07";"-12,58";"6,29";"4,78";"22,89"
"09477";"Kulmbach";"Kreise";"-1,57";"-8,24";"6,49";"4,94";"23,20"
"09478";"Lichtenfels";"Kreise";"1,61";"-4,59";"6,38";"5,34";"24,05"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"-3,83";"-13,94";"6,31";"4,91";"22,04"
"09561";"Ansbach, Stadt";"Kreise";"-0,35";"5,04";"7,73";"6,36";"24,89"
"09562";"Erlangen";"Kreise";"9,17";"5,19";"9,92";"10,22";"26,62"
"09563";"Fürth, Stadt";"Kreise";"9,94";"6,40";"7,06";"6,72";"28,56"
"09564";"Nürnberg";"Kreise";"5,56";"-0,46";"7,76";"7,46";"28,25"
"09565";"Schwabach";"Kreise";"3,66";"6,37";"6,62";"5,33";"24,74"
"09571";"Ansbach";"Kreise";"4,71";"3,11";"7,02";"5,45";"25,07"
"09572";"Erlangen-Höchstadt";"Kreise";"4,98";"6,30";"6,44";"4,68";"25,60"
"09573";"Fürth";"Kreise";"2,71";"7,67";"6,05";"4,57";"25,06"
"09574";"Nürnberger Land";"Kreise";"2,54";"2,55";"6,17";"4,70";"24,93"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"3,59";"3,59";"6,61";"5,12";"24,77"
"09576";"Roth";"Kreise";"4,06";"0,24";"6,55";"4,99";"24,78"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"2,53";"2,65";"6,93";"5,32";"24,36"
"09661";"Aschaffenburg, Stadt";"Kreise";"6,94";"-0,28";"7,24";"6,59";"26,71"
"09662";"Schweinfurt, Stadt";"Kreise";"4,02";"-3,73";"8,66";"6,33";"24,65"
"09663";"Würzburg, Stadt";"Kreise";"5,66";"-3,35";"11,35";"10,79";"26,32"
"09671";"Aschaffenburg";"Kreise";"-1,12";"0,82";"6,38";"4,85";"24,39"
"09672";"Bad Kissingen";"Kreise";"0,57";"-4,75";"6,29";"4,92";"22,82"
"09673";"Rhön-Grabfeld";"Kreise";"-0,67";"-7,20";"6,69";"5,07";"23,44"
"09674";"Haßberge";"Kreise";"-0,50";"-4,68";"6,77";"5,09";"23,98"
"09675";"Kitzingen";"Kreise";"3,52";"3,54";"6,87";"5,26";"25,26"
"09676";"Miltenberg";"Kreise";"-0,55";"-2,76";"6,78";"5,24";"24,07"
"09677";"Main-Spessart";"Kreise";"-0,38";"-4,95";"6,47";"5,03";"23,48"
"09678";"Schweinfurt";"Kreise";"1,24";"1,40";"6,62";"4,91";"24,33"
"09679";"Würzburg";"Kreise";"1,45";"2,31";"6,63";"4,89";"24,86"
