AGS;Region_Name;Population_Density;Provision_Rate_Percent;Waiting_Time_Days_Median
09361;Amberg;841.98;110.60;103.00
09362;Regensburg, Stadt;1850.90;184.65;91.00
09363;Weiden i.d.OPf.;601.25;107.07;169.00
09371;Amberg-Sulzbach;82.91;110.60;103.00
09372;Cham;83.98;112.94;94.00
09373;Neumarkt i.d.OPf.;102.84;106.86;102.00
09374;Neustadt a.d.Waldnaab;67.48;107.07;169.00
09375;Regensburg;139.26;126.18;90.00
09376;Schwandorf;101.96;108.63;98.00
09377;Tirschenreuth;66.91;110.91;138.00
09461;Bamberg, Stadt;1374.72;139.31;112.00
09462;Bayreuth, Stadt;1092.45;125.43;119.00
09463;Coburg, Stadt;847.11;112.80;115.00
09464;Hof, Stadt;801.17;108.28;104.00
09471;Bamberg;126.75;139.31;112.00
09472;Bayreuth;80.96;125.43;119.00
09473;Coburg;143.15;112.80;115.00
09474;Forchheim;180.89;127.00;115.00
09475;Hof;103.84;108.28;104.00
09476;Kronach;99.79;107.92;120.00
09477;Kulmbach;108.99;117.70;119.00
09478;Lichtenfels;130.24;145.24;119.00
09479;Wunsiedel i.Fichtelgebirge;117.02;107.23;135.00
09561;Ansbach, Stadt;397.36;108.59;119.00
09562;Erlangen;1498.36;139.99;101.00
09563;Fürth, Stadt;2079.12;187.04;98.00
09564;Nürnberg;2824.53;144.39;97.00
09565;Schwabach;1004.75;111.99;99.00
09571;Ansbach;95.03;108.59;119.00
09572;Erlangen-Höchstadt;245.47;112.82;112.00
09573;Fürth;382.57;114.00;98.00
09574;Nürnberger Land;211.62;117.10;106.00
09575;Neustadt a.d.Aisch-Bad Windsheim;79.67;113.01;106.00
09576;Roth;143.48;111.99;99.00
09577;Weißenburg-Gunzenhausen;97.52;110.90;106.00
09661;Aschaffenburg, Stadt;1161.79;110.40;102.00
09662;Schweinfurt, Stadt;1510.87;113.30;113.00
09663;Würzburg, Stadt;1504.10;199.96;91.00
09671;Aschaffenburg;244.46;110.40;102.00
09672;Bad Kissingen;90.99;129.15;110.00
09673;Rhön-Grabfeld;77.74;112.38;103.00
09674;Haßberge;87.51;109.75;105.00
09675;Kitzingen;133.30;110.78;136.00
09676;Miltenberg;177.76;110.63;100.00
09677;Main-Spessart;95.23;109.30;105.00
09678;Schweinfurt;135.97;113.30;113.00
09679;Würzburg;166.14;187.59;99.00
